SQL> SELECT ticket_id, COUNT(*) AS assigned_rows, GROUP_CONCAT(operator_id ORDER BY id) AS operators FROM ticket_audit_log WHERE to_status = 'ASSIGNED' GROUP BY ticket_id HAVING COUNT(*) > 1 ORDER BY ticket_id
  ticket_id | assigned_rows | operators
  8214 | 5 | 4,3,3,4,3
  8215 | 10 | 3,4,4,3,4,3,4,3,4,3
  8216 | 12 | 3,4,3,3,4,3,3,4,4,4,4,3
  8217 | 13 | 3,4,3,4,4,3,3,3,3,3,4,3,3
  8218 | 14 | 4,3,3,4,4,4,4,4,4,3,3,4,3,3
  8219 | 2 | 4,3
  8220 | 3 | 4,3,3
  8221 | 4 | 3,4,4,3
  8222 | 2 | 4,3
  8223 | 2 | 4,3
  8224 | 2 | 3,4
  8225 | 2 | 4,3
