基准 t0 = epoch 1789901218824 ms;每行:线程 | 事件 | 发出(+ms) | 返回(+ms) | 耗时 ms | SQL
http-nio-8080-exec-235 | getConnection    |   -21.9 |   -20.9 |    0.98 |
http-nio-8080-exec-235 | getConnection    |   -13.9 |   -13.9 |    0.00 |
http-nio-8080-exec-235 | getConnection    |    -5.2 |    -4.9 |    0.33 |
http-nio-8080-exec-235 | getConnection    |     6.7 |     7.1 |    0.44 |
http-nio-8080-exec-235 | COMMIT           |     0.0 |     6.1 |    6.10 | COMMIT
http-nio-8080-exec-235 | COMMIT           |    19.3 |    23.1 |    3.82 | COMMIT

http-nio-8080-exec-208 | getConnection    |   553.2 |   554.1 |    0.89 |
http-nio-8080-exec-208 | getConnection    |   559.1 |   559.1 |    0.00 |
http-nio-8080-exec-208 | getConnection    |   560.8 |   561.1 |    0.31 |
http-nio-8080-exec-208 | getConnection    |   565.1 |   565.1 |    0.00 |
http-nio-8080-exec-208 | COMMIT           |   572.2 |   576.1 |    3.85 | COMMIT
http-nio-8080-exec-208 | COMMIT           |  7816.9 |  7821.1 |    4.16 | COMMIT
http-nio-8080-exec-208 | UPDATE           |  7827.4 |  7829.1 |    1.74 | UPDATE llm_call_log  SET ticket_id=8244       WHERE  (id = 8244)
http-nio-8080-exec-208 | COMMIT           |  7833.5 |  7837.1 |    3.63 | COMMIT

http-nio-8080-exec-190 | COMMIT           |  3916.3 |  3920.1 |    3.82 | COMMIT
http-nio-8080-exec-190 | COMMIT           |  3931.0 |  3934.1 |    3.10 | COMMIT

http-nio-8080-exec-184 | COMMIT           |  4428.9 |  4433.1 |    4.20 | COMMIT

http-nio-8080-exec-175 | getConnection    |   613.7 |   614.1 |    0.38 |
http-nio-8080-exec-175 | getConnection    |   617.1 |   617.1 |    0.00 |
http-nio-8080-exec-175 | SELECT           |  8329.8 |  8331.1 |    1.28 | SELECT id,ticket_no,title,content,category,priority,status,customer_id
http-nio-8080-exec-175 | UPDATE           |  8333.5 |  8335.1 |    1.63 | UPDATE ticket  SET ticket_no='T20260920-2EDEF78A', title='perf grab ta
http-nio-8080-exec-175 | COMMIT           |  8338.6 |  8342.1 |    3.47 | COMMIT

摘要(+ms 相对 t0):线程 | getConnection 等待 | SELECT 发出 | SELECT 返回 | UPDATE 发出 | UPDATE 返回(含行锁等待) | COMMIT 返回 | 窗口 SELECT发出→COMMIT返回
  http-nio-8080-exec-175 |   0.26 |  8329.8 |  8331.1 |  8333.5 |  8335.1 |  8342.1 |   12.3  UPDATE 执行了
